bitch,974,2341
normal,975,2339
aunt,976,2339
lawyer,977,2338
apart,978,2336
certain,979,2333
plans,980,2327
Jax,981,2326
girlfriend,982,2325
floor,983,2325
whether,984,2316
everything's,985,2316
present,986,2313
earth,987,2312
private,988,2311
Jessica,989,2310
box,990,2304
Dawson,991,2303
cover,992,2298
judge,993,2294
upstairs,994,2293
Alexis,995,2287
Shawn,996,2281
sake,997,2281
mommy,998,2281
possibly,999,2280
worst,1000,2276
station,1001,2276
acting,1002,2276
accept,1003,2271
blow,1004,2268
strange,1005,2266
saved,1006,2266
Ivy,1007,2266
conversation,1008,2266
plane,1009,2259
mama,1010,2257
yesterday,1011,2254
lied,1012,2251
quick,1013,2249
lately,1014,2249
stuck,1015,2240
lovely,1016,2239
security,1017,2237
report,1018,2236
Barbara,1019,2235
difference,1020,2227
rid,1021,2226
tv,1022,2225
Adam,1023,2219
store,1024,2217
she'd,1025,2209
bag,1026,2209
Mike,1027,2205
bought,1028,2201
ball,1029,2200
single,1030,2195
Kevin,1031,2192
doubt,1032,2191
listening,1033,2186
major,1034,2181
walking,1035,2180
cops,1036,2180
blue,1037,2180
deep,1038,2167
dangerous,1039,2162
Buffy,1040,2162
park,1041,2160
sleeping,1042,2154
Chloe,1043,2154
Rafe,1044,2149
shh,1045,2142
record,1046,2140
lord,1047,2139
Erica,1048,2139
moved,1049,2127
join,1050,2126
key,1051,2125
captain,1052,2117
card,1053,2113
crime,1054,2110
gentlemen,1055,2096
willing,1056,2089
window,1057,2084
return,1058,2081
walked,1059,2075
guilty,1060,2072
Brenda,1061,2072
likes,1062,2070
fighting,1063,2066
difficult,1064,2065
soul,1065,2063
joke,1066,2062
service,1067,2056
magic,1068,2053
favorite,1069,2052
uncle,1070,2050
promised,1071,2047
public,1072,2045
bother,1073,2042
island,1074,2041
Jim,1075,2039
seriously,1076,2036
cell,1077,2036
lead,1078,2033
knowing,1079,2032
broken,1080,2026
advice,1081,2024
somehow,1082,2023
paid,1083,2017
Blair,1084,2017
losing,1085,2013
push,1086,2010
helped,1087,2010
killing,1088,2006
